"city","yq","cecptrating","totalcost","incentiverate","TOTALOOH","PWRPRICE","WPOOH"
"Bakersfield",2009 Q3,424735.999755859,3377018.79394531,1.43205476950293,244008,0.785000011324882,1.74066423951616
"Bakersfield",2009 Q4,201635,1651644.5859375,1.09413795635618,244008,0.785000011324882,0.826345857512868
"Bakersfield",2010 Q1,259649.000061035,1980107.67773438,1.07734696232543,244008,0.785000011324882,1.06410035761547
"Bakersfield",2010 Q2,609901.999755859,5053544.0390625,0.671249979677109,244008,0.785000011324882,2.49951640829751
"Bakersfield",2010 Q3,529946,4144673.68554688,0.634479148623844,244008,0.785000011324882,2.1718386282417
"Bakersfield",2010 Q4,344477.999755859,2689317.0546875,0.39171427828925,244008,0.785000011324882,1.41174879412093
"Bakersfield",2011 Q1,522843.000244141,4563990.62109375,0.348651680718647,244008,0.785000011324882,2.14272892792097
"Bakersfield",2011 Q2,932134,7038994.9609375,0.346091366888303,244008,0.785000011324882,3.82009606242418
"Bakersfield",2011 Q3,935114.999145508,6899337.71435547,0.347317068460511,244008,0.785000011324882,3.8323128714858
"Bakersfield",2011 Q4,647889.99987793,4621850.15234375,0.252614378929138,244008,0.785000011324882,2.65519982901351
"Belmont",2007 Q3,5759,60083.099609375,2.5,24940,0.785000011324882,0.230914194065758
"Belmont",2007 Q4,19632,202892.580078125,2.19333338737488,24940,0.785000011324882,0.787169206094627
"Belmont",2008 Q1,10750,121719.0703125,2.17750000953675,24940,0.785000011324882,0.431034482758621
"Belmont",2008 Q2,3383,34072.30859375,1.89999997615814,24940,0.785000011324882,0.135645549318364
"Belmont",2008 Q3,15195,156235.119140625,1.89999997615814,24940,0.785000011324882,0.609262229350441
"Belmont",2008 Q4,6133,51112,1.89499998092652,24940,0.785000011324882,0.245910184442662
"Belmont",2009 Q1,1624,17281,1.54999995231628,24940,0.785000011324882,0.0651162790697674
"Belmont",2009 Q2,13050,132874.03125,1.54999995231628,24940,0.785000011324882,0.523255813953488
"Belmont",2009 Q3,12701,137085,1.20750001072883,24940,0.785000011324882,0.509262229350441
"Belmont",2009 Q4,19841,202246.349609375,1.10000002384186,24940,0.785000011324882,0.795549318364074
"Belmont",2010 Q1,11695,93683.75,1.09000000357628,24940,0.785000011324882,0.468925421010425
"Belmont",2010 Q2,9878,90838.19921875,0.649999976158142,24940,0.785000011324882,0.39607056936648
"Belmont",2010 Q3,26328,244017.5,0.644999980926513,24940,0.785000011324882,1.05565356856455
"Belmont",2010 Q4,10184,81889.19921875,0.349999994039536,24940,0.785000011324882,0.408340016038492
"Belmont",2011 Q1,18867,153789,0.349999994039536,24940,0.785000011324882,0.756495589414595
"Belmont",2011 Q2,21466,193210.46875,0.349999994039536,24940,0.785000011324882,0.860705693664796
"Belmont",2011 Q3,2613,18042.169921875,0.349999994039536,24940,0.785000011324882,0.104771451483561
"Belmont",2011 Q4,2218,22503.599609375,0.25,24940,0.785000011324882,0.0889334402566159
"Berkeley",2007 Q3,107110.99987793,1242379.68164062,2.38931820067493,75121,0.785000011324882,1.42584629967559
"Berkeley",2007 Q4,94829.9992675781,960809.685546875,2.1809375397861,75121,0.785000011324882,1.26236337731897
"Berkeley",2008 Q1,71521,720732.06640625,2.16629633638594,75121,0.785000011324882,0.952077315264706
"Berkeley",2008 Q2,61773.0001220703,693483.428710938,1.89999997615814,75121,0.785000011324882,0.82231333611201
"Berkeley",2008 Q3,65824,729355.48828125,1.88159997940063,75121,0.785000011324882,0.876239666671104
"Berkeley",2008 Q4,99751.0001220703,1103017.38378906,1.8049999726446,75121,0.785000011324882,1.32787103635562
"Berkeley",2009 Q1,46939.9999389648,519813.73828125,1.54666662216186,75121,0.785000011324882,0.624858560708255
"Berkeley",2009 Q2,89645,893733.860351562,1.54370365760944,75121,0.785000011324882,1.19334140919317
"Berkeley",2009 Q3,93105.0003051758,971426.21484375,1.43499997258186,75121,0.785000011324882,1.23940043802899
"Berkeley",2009 Q4,44921,382857.400390625,1.08866668939591,75121,0.785000011324882,0.597981922498369
"Berkeley",2010 Q1,51240,492506.7109375,1.04400002062321,75121,0.785000011324882,0.682099546065681
"Berkeley",2010 Q2,73574.9997558594,655308.5078125,0.749473672164114,75121,0.785000011324882,0.9794198660276
"Berkeley",2010 Q3,46580,423188.80078125,0.627058805788264,75121,0.785000011324882,0.620066293047217
"Berkeley",2010 Q4,50526,504557.3203125,0.402352932621451,75121,0.785000011324882,0.672594880259847
"Berkeley",2011 Q1,39368,335243.33984375,0.356666661798954,75121,0.785000011324882,0.524061181294179
"Berkeley",2011 Q2,50192.0002441406,438378.361328125,0.346315785458214,75121,0.785000011324882,0.668148723314927
"Berkeley",2011 Q3,92358,746254.290039062,0.348518513970905,75121,0.785000011324882,1.22945647688396
"Berkeley",2011 Q4,41840.9997558594,356472.75,0.262499999254942,75121,0.785000011324882,0.556981400085986
"Beverly Hills",2007 Q3,12239,113441.5,2.5,26007,0.77199999988079,0.470604068135502
"Beverly Hills",2007 Q4,31575,317628.1796875,2.50249999761582,26007,0.77199999988079,1.21409620486792
"Beverly Hills",2008 Q1,30888,327017.984375,2.49750000238418,26007,0.77199999988079,1.1876802399354
"Beverly Hills",2008 Q2,14994,129088,2.35000002384186,26007,0.77199999988079,0.576537086169108
"Beverly Hills",2008 Q3,9155,83483.91015625,2.20000004768372,26007,0.77199999988079,0.352020609835813
"Beverly Hills",2008 Q4,22346,205800,2.20000004768372,26007,0.77199999988079,0.859230207251894
"Beverly Hills",2009 Q1,47055,514458.19140625,2.20000004768372,26007,0.77199999988079,1.80932056753951
"Beverly Hills",2009 Q2,55072,542135.79296875,2.06363637880846,26007,0.77199999988079,2.11758372745799
"Beverly Hills",2009 Q3,19303,159463.0625,1.89999997615814,26007,0.77199999988079,0.742223247587188
"Beverly Hills",2009 Q4,24753,225045.98046875,1.89999997615814,26007,0.77199999988079,0.951782212481255
"Beverly Hills",2010 Q1,41464,372360,1.81249997019767,26007,0.77199999988079,1.59433998538855
"Beverly Hills",2010 Q2,11365.0001220703,103538.400390625,1.66333329677582,26007,0.77199999988079,0.436997736073761
"Beverly Hills",2010 Q3,16152,142111.9296875,1.54999995231628,26007,0.77199999988079,0.62106355981082
"Beverly Hills",2010 Q4,31142,272012.3984375,1.54749995470047,26007,0.77199999988079,1.19744684123505
"Beverly Hills",2011 Q1,73992,608914.3984375,1.19444445768992,26007,0.77199999988079,2.84508017072327
"Beverly Hills",2011 Q2,2445,20928,1.10000002384186,26007,0.77199999988079,0.0940131503056869
"Beverly Hills",2011 Q3,35314,287997.4375,1.10000002384186,26007,0.77199999988079,1.35786519014112
"Beverly Hills",2011 Q4,12560,114499.6015625,0.649999976158142,26007,0.77199999988079,0.482946898911831
"Brentwood",2007 Q3,39445,355004.80859375,2.52777777777778,48238,0.77199999988079,0.817716323230648
"Brentwood",2007 Q4,10568,101991.5,2.20000004768372,48238,0.77199999988079,0.219080393051122
"Brentwood",2008 Q1,16437,164857.4296875,2,48238,0.77199999988079,0.340747958041378
"Brentwood",2008 Q2,13593,128434,1.89999997615814,48238,0.77199999988079,0.28179028981301
"Brentwood",2008 Q3,14618,158933,1.88749998807907,48238,0.77199999988079,0.303039097806708
"Brentwood",2008 Q4,28278,291985.3828125,1.79714282921382,48238,0.77199999988079,0.586218334093453
"Brentwood",2009 Q1,10229,91949,1.54999995231628,48238,0.77199999988079,0.212052738504913
"Brentwood",2009 Q2,15380,133058,1.54999995231628,48238,0.77199999988079,0.318835772627389
"Brentwood",2009 Q3,38990,347372.94140625,1.26874999701977,48238,0.77199999988079,0.808283925535885
"Brentwood",2009 Q4,40916,323835.7109375,1.0971428837095,48238,0.77199999988079,0.848210954019653
"Brentwood",2010 Q1,11413.9997558594,89434.578125,1.10000002384186,48238,0.77199999988079,0.236618428538898
"Brentwood",2010 Q2,37263,368215.919921875,0.68249998241663,48238,0.77199999988079,0.772482275384552
"Brentwood",2010 Q3,72266,584918.322265625,0.648666644096374,48238,0.77199999988079,1.49811352046105
"Brentwood",2010 Q4,27737,255791.55078125,0.392857134342194,48238,0.77199999988079,0.575003109581658
"Brentwood",2011 Q1,30344,231323.427734375,0.349999994039536,48238,0.77199999988079,0.629047638790995
"Brentwood",2011 Q2,70403,618648.49609375,0.349999994039536,48238,0.77199999988079,1.45949251627348
"Brentwood",2011 Q3,67332,565836.021484375,0.341999995708466,48238,0.77199999988079,1.39582901446992
"Brentwood",2011 Q4,52402,442857.3203125,0.25769230723381,48238,0.77199999988079,1.08632198681537
"Calabasas",2007 Q3,10757,107556,2.49000000953674,23986,0.77199999988079,0.448469940798799
"Calabasas",2007 Q4,36085,110592.8515625,1.58000001311302,23986,0.77199999988079,1.50441924455933
"Calabasas",2008 Q1,25297,247538.8515625,2.5,23986,0.77199999988079,1.05465688318186
"Calabasas",2008 Q2,10328,119850,2.40000001589457,23986,0.77199999988079,0.43058450762945
"Calabasas",2008 Q3,7619,73774.51953125,2.20000004768372,23986,0.77199999988079,0.317643625448178
"Calabasas",2008 Q4,8702,91594.94921875,2.19500005245209,23986,0.77199999988079,0.362794963728842
"Calabasas",2009 Q1,13919,139558.0234375,2.20000004768372,23986,0.77199999988079,0.58029683982323
"Calabasas",2009 Q2,64470,680293.189453125,2.11428574153355,23986,0.77199999988079,2.68781789377137
"Calabasas",2009 Q3,27456,251105.890625,1.89999997615814,23986,0.77199999988079,1.14466772283832
"Calabasas",2009 Q4,63059,586397.83984375,1.85999997456868,23986,0.77199999988079,2.62899191194864
"Calabasas",2010 Q1,41536,344839.58203125,1.89499998092651,23986,0.77199999988079,1.73167681147336
"Calabasas",2010 Q2,80646,774652.22265625,1.70727269216017,23986,0.77199999988079,3.36221128991912
"Calabasas",2010 Q3,33757,272130,1.54999995231628,23986,0.77199999988079,1.40736262819978
"Calabasas",2010 Q4,45879,440230.150390625,1.54749995470047,23986,0.77199999988079,1.91274076544651
"Calabasas",2011 Q1,25359,204269.609375,1.44399998188019,23986,0.77199999988079,1.0572417243392
"Calabasas",2011 Q2,23163,190299.80078125,1.10000002384186,23986,0.77199999988079,0.965688318185608
"Calabasas",2011 Q3,56660,473072.5,1.02500001589457,23986,0.77199999988079,2.36221128991912
"Calabasas",2011 Q4,45185,334687.298828125,0.649999976158142,23986,0.77199999988079,1.88380722087885
"Camarillo",2007 Q3,53598,536564.5546875,2.50124999880791,66504,0.77199999988079,0.805936485023457
"Camarillo",2007 Q4,28272,305259.581054688,2.53571428571429,66504,0.77199999988079,0.425117286178275
"Camarillo",2008 Q1,29108,295457.689453125,2.5,66504,0.77199999988079,0.43768795861903
"Camarillo",2008 Q2,39090,378572.01171875,2.34800002574921,66504,0.77199999988079,0.587784193431974
"Camarillo",2008 Q3,50165,520851.400390625,2.20000004768372,66504,0.77199999988079,0.754315529892939
"Camarillo",2008 Q4,44456,415706.369140625,2.16250003874302,66504,0.77199999988079,0.668471069409359
"Camarillo",2009 Q1,42798,420475.19140625,2.20000004768372,66504,0.77199999988079,0.643540238181162
"Camarillo",2009 Q2,70469,654444.635742188,2.10785715920585,66504,0.77199999988079,1.05962047395645
"Camarillo",2009 Q3,32214,265579.59765625,1.89999997615814,66504,0.77199999988079,0.484391916275713
"Camarillo",2009 Q4,9133,89264.76953125,1.89999997615814,66504,0.77199999988079,0.137330085408396
"Camarillo",2010 Q1,71035,588703.708984375,1.8918181549419,66504,0.77199999988079,1.06813124022615
"Camarillo",2010 Q2,51864.9997558594,474661.94140625,1.69499996304512,66504,0.77199999988079,0.779877898410011
"Camarillo",2010 Q3,73097,561803.111328125,1.54785709721701,66504,0.77199999988079,1.09913689402141
"Camarillo",2010 Q4,57649,436704.740234375,1.54538457210247,66504,0.77199999988079,0.86685011427884
"Camarillo",2011 Q1,27572,211009.029296875,1.21125000715256,66504,0.77199999988079,0.414591603512571
"Camarillo",2011 Q2,67662,579892.56640625,1.06941178966971,66504,0.77199999988079,1.01741248646698
"Camarillo",2011 Q3,109013,809299.431640625,0.922142863273621,66504,0.77199999988079,1.63919463490918
"Camarillo",2011 Q4,60888.0002441406,401962.919921875,0.649999976158142,66504,0.77199999988079,0.915553955313073
"Campbell",2007 Q3,16761.9998779297,150111.58984375,2.44333334763845,33655,0.785000011324882,0.498053777386115
"Campbell",2007 Q4,19169,193995.380859375,2.20000004768372,33655,0.785000011324882,0.569573614618927
"Campbell",2008 Q1,22305,262805.66015625,2.13333334525427,33655,0.785000011324882,0.662754419848462
"Campbell",2008 Q2,6656,59812.76953125,1.89999997615814,33655,0.785000011324882,0.197771504976972
"Campbell",2008 Q3,34254,359761.072265625,1.89833331108093,33655,0.785000011324882,1.01779824691725
"Campbell",2008 Q4,13647,134345.26171875,1.8933333158493,33655,0.785000011324882,0.405496954390135
"Campbell",2009 Q1,8947,111829.7578125,1.54999995231628,33655,0.785000011324882,0.265844599613728
"Campbell",2009 Q2,13377,122271.16015625,1.54999995231628,33655,0.785000011324882,0.397474372307235
"Campbell",2009 Q3,45182,406109.109375,1.39999997615814,33655,0.785000011324882,1.34250482840588
"Campbell",2009 Q4,16468,213911.009765625,1.10000002384186,33655,0.785000011324882,0.489318080522954
"Campbell",2010 Q1,17060,135240.958984375,0.985000014305115,33655,0.785000011324882,0.506908334571386
"Campbell",2010 Q2,27621,218880.298828125,0.646666646003723,33655,0.785000011324882,0.820710147080671
"Campbell",2010 Q3,39915,279662.419921875,0.64111108912362,33655,0.785000011324882,1.18600505125539
"Campbell",2010 Q4,18174,150511,0.349999994039536,33655,0.785000011324882,0.540008913980092
"Campbell",2011 Q1,21242,176834,0.349999994039536,33655,0.785000011324882,0.631169217055415
"Campbell",2011 Q2,24278,216795.6015625,0.349999994039536,33655,0.785000011324882,0.72137869558758
"Campbell",2011 Q3,49051,390547.201171875,0.340909085490487,33655,0.785000011324882,1.45746545832714
"Campbell",2011 Q4,11051,97899.5,0.25,33655,0.785000011324882,0.3283613133264
"Carlsbad",2007 Q3,36110,332367.940429688,2.5,105381,0.857999995350838,0.342661390573253
"Carlsbad",2007 Q4,39811,379410.638671875,2.43222223387824,105381,0.857999995350838,0.377781573528435
"Carlsbad",2008 Q1,30153,286770.1640625,2.20428575788226,105381,0.857999995350838,0.286133173911806
"Carlsbad",2008 Q2,34796,362662.05859375,2.34400005340576,105381,0.857999995350838,0.330192349664551
"Carlsbad",2008 Q3,65102,592608.814453125,2.13944447702832,105381,0.857999995350838,0.617777398202712
"Carlsbad",2008 Q4,35907,370574.87109375,1.89899997711182,105381,0.857999995350838,0.340735047114755
"Carlsbad",2009 Q1,45413,435420.681640625,1.86818179217252,105381,0.857999995350838,0.430941061481671
"Carlsbad",2009 Q2,157535.000244141,1443306.25097656,1.79299997091293,105381,0.857999995350838,1.49490895174785
"Carlsbad",2009 Q3,63844,564463.6484375,1.50999996066093,105381,0.857999995350838,0.605839762386009
"Carlsbad",2009 Q4,124995,1032502.11914062,1.33230768717252,105381,0.857999995350838,1.18612463347283
"Carlsbad",2010 Q1,100418,788480.748046875,1.01347827133925,105381,0.857999995350838,0.952904223721544
"Carlsbad",2010 Q2,47494,393221.708007812,0.638888869020674,105381,0.857999995350838,0.450688454275439
"Carlsbad",2010 Q3,91920,726354.2890625,0.646190455981663,105381,0.857999995350838,0.872263501010619
"Carlsbad",2010 Q4,93708,792733.5,0.497999987006188,105381,0.857999995350838,0.889230506448031
"Carlsbad",2011 Q1,55174,475550.669921875,0.349999994039536,105381,0.857999995350838,0.523566866892514
"Carlsbad",2011 Q2,104022,820494.150390625,0.349999994039536,105381,0.857999995350838,0.987103937142369
"Carlsbad",2011 Q3,166990,1186924.10742188,0.325675671165054,105381,0.857999995350838,1.58463100558924
"Carlsbad",2011 Q4,41840,316282.599609375,0.25,105381,0.857999995350838,0.397035518736774
"Chico",2007 Q3,89212,821620.73828125,2.44666667779287,56973,0.785000011324882,1.56586453232233
"Chico",2007 Q4,106908,1029998.71484375,2.19681823253632,56973,0.785000011324882,1.8764678005371
"Chico",2008 Q1,105086,941125.2265625,2.17611114846336,56973,0.785000011324882,1.84448773980658
"Chico",2008 Q2,83969.9997558594,746356.59765625,1.89823527195874,56973,0.785000011324882,1.47385603278499
"Chico",2008 Q3,82563.9997558594,807153.080078125,1.89999997615814,56973,0.785000011324882,1.44917767637055
"Chico",2008 Q4,137343,1321510.640625,1.80269228036587,56973,0.785000011324882,2.41066821125796
"Chico",2009 Q1,67846,627250.6328125,1.54999995231628,56973,0.785000011324882,1.19084478612676
"Chico",2009 Q2,154051,1379361.5390625,1.54677414894104,56973,0.785000011324882,2.70392993172204
"Chico",2009 Q3,188284,1546696.68359375,1.30636362505682,56973,0.785000011324882,3.30479349867481
"Chico",2009 Q4,79755,616869.290039062,1.09933335781098,56973,0.785000011324882,1.39987362434838
"Chico",2010 Q1,104627,796024.580078125,1.04315791318291,56973,0.785000011324882,1.83643129201552
"Chico",2010 Q2,117708,874444.5234375,0.666956502458324,56973,0.785000011324882,2.06603127797378
"Chico",2010 Q3,94199,701348.390625,0.646666646003723,56973,0.785000011324882,1.6533972232461
"Chico",2010 Q4,23307,141169.69921875,0.409999990463257,56973,0.785000011324882,0.409088515612659
"Chico",2011 Q1,52363,353627.140625,0.348888883988063,56973,0.785000011324882,0.919084478612676
"Chico",2011 Q2,52464.0004882812,360709.390625,0.349999994039536,56973,0.785000011324882,0.920857256740583
"Chico",2011 Q3,90885.0004882812,687160,0.349545449018479,56973,0.785000011324882,1.59522932772157
"Chico",2011 Q4,57805,352849.140625,0.258333332836628,56973,0.785000011324882,1.01460340863216
"Claremont",2007 Q3,17223,155312.029296875,2.5,30303,0.77199999988079,0.568359568359568
"Claremont",2007 Q4,3760,33510,2.5,30303,0.77199999988079,0.124080124080124
"Claremont",2008 Q1,7691,80992,2.5,30303,0.77199999988079,0.253803253803254
